JR AUTO PECAS - MATRIZ

CONTAGEM DE ESTOQUE 15/07/2026 10:22

Departamento do Produto : TODOS
Empresa : 001-JR AUTO PECAS - MATRIZ
Fornecedor : TODOS
Produto : TODOS
Marca : TODOS
Unidade : TODOS
Descrição : TODOS
Exibir Saldo Reservado : NÃO
Exibir Saldo : SIM
Exibir Saldo ML/GR : NÃO
Exportação para E-Commerce : TODOS
Grupo de Compra : TODOS
Exibir Ítem : TODOS
Imprime Lista : TODOS
Linha/Grupo Final : TODOS
Linha/Grupo Inicial : TODOS
Localização Física Final : B 0350
Localização Física Inicial : B 0001
Saldos dos Lotes : TODOS
Status do Lote : TODOS
Lote : TODOS
Opção : ALFABÉTICA
Quebrar Página : NÃO
Quebrar Unidade : NÃO
Saldos : TODOS
Status : TODOS
Referência Inicial : TODOS
Referência Final : TODOS
Localização Super Estoque Final : TODOS
Localização Super Estoque Inicial : TODOS
Lote : TODOS OS ÍTENS
Destino : CSV

CÓDIGO;DESCRIÇÃO;UN.;REFERÊNCIA;LOC.FÍSICA;SALDO;;;;;
"35555";"BUJAO CARTER COROLA/HILUX (M12X1.25 CH14) (9034112012) 840013C";"PC";"35555";"B 0283";4,00;"______________";"";"";"";""
"11418";"BUJAO CARTER GOL/CL C/ARR (14MM CH19) 448DEW 15910D";"PC";"11418";"B 0229";12,00;"______________";"";"";"";""
"13728";"BUJAO CARTER STNA C/ARR (14MM CH 6 ALLEN) 450DEW P5388 15912D";"PC";"13728";"B 0260";3,00;"______________";"";"";"";""
"08690";"CALOTA CUBO PST/GOL D/E VW/BRS DISCO 28V 690DEW 62352D";"PC";"8690";"B 0190";20,00;"______________";"";"";"";""
"04209";"CARRETEL CABO ACEL GOL/PST B33129 M12143 J70257-0 S36551 SK3017";"PC";"4209";"B 0122";9,00;"______________";"";"";"";""
"17944";"CATRACA EMBR ESC /90 B21100 20544KITCIA DKTB3501 541721947X";"PC";"17944";"B 0295";4,00;"______________";"";"";"";""
"41469";"CATRACA EMBR ESC /90 B21100 20544KITCIA DKTB3501 541721947X";"PC";"41469";"B 0295";3,00;"______________";"";"";"";""
"04378";"CF CX ESQ DIREC FIAT/UNO (PEQ) B50024 M41120 60039-5 S101 SK1150 MR1150";"PC";"4378";"B 0089";3,00;"______________";"";"";"";""
"04380";"CF HASTE TRAMB CAMB FIAT B50026 M41040 J60131-6 SK1158";"PC";"4380";"B 0091";0,00;"______________";"";"";"";""
"38087";"CHICOTE INT TEMP CINZA GOL (MTE4092 06A919501 ) TC101.1156";"PC";"38087";"B 0241";12,00;"______________";"";"";"";""
